Nama Kos;Alamat;Jenis;Harga;WiFi;AC;Dapur;Listrik;Kamar mandi;Jarak dari PENS;Nomor pemilik kos
Kos Muslimah;Keputih gang 2b nomor 28;Khusus Perempuan;800000;Ada;Tidak;Ada;Include;Luar;2,8;+62 895-3970-76143
Kos The Gayam;Jalan wismpa permai ix no 21;Khusus Perempuan;1.600.000;Ada;Ada;Ada;Exclude;Luar;2.4;+62 811-314-413
Griya Risny TMB 114;Tegal Mulyorejo Baru No.114;Khusus Perempuan;800.000;Ada;Tidak;Ada;Include;Luar;1.0;81259401184
Kos Khoirul Huda;Jalan Semampir Selatan IIA;Campur;275000;Ada;Tidak;Ada;Include;Luar;6.0;81230303153
Kos pak Mirza E20 ;Keputih Gg makam, Blok E20;Khusus Laki Laki;450000;Ada;Tidak;Tidak;Include;Luar;3,3;+62 851-0091-8223
Jalan Gebang Wetan No 29;Jalan Gebang Wetan No 29;Khusus Perempuan;875000;Ada;Tidak;Ada;Include;Luar;1,4;85812791782
kos rabel;jl. gebang kidul no 44D1;Khusus Perempuan;1250000;Ada;Ada;Ada;Exclude;Dalam;0.5;82141254595
Jalan TMB No. 47;Jalan TMB No. 47;Khusus Perempuan;700000;Ada;Tidak;Ada;Include;Luar;2.1;+62 851-0157-7167
Gebang Lor 38;Jalan Gebang Lor no.38;Khusus Perempuan;800000;Ada;Tidak;Tidak;Include;Luar;1.5;81252730369
Kos Fio ;Jl. Kalisari Damen No.KAV-18, RT.002/RW.03, Kalisari, Kec. Mulyorejo, Surabaya, Jawa Timur 60112;Khusus Perempuan;700000;Ada;Tidak;Ada;Include;Luar;2.0;+62 858-1776-6088
Erland Kos;Jl. Klampis Aji 1 no.34;Khusus Laki Laki;650000;Ada;Tidak;Ada;Include;Dalam;3.5;+62 897-8915-888, +62 899-4325-888
Kost putri 70A gebang kidul;Jl. Gebang Kidul No.70 A, RW.02, Gebang Putih, Kec. Sukolilo, Surabaya, Jawa Timur 60117;Khusus Perempuan;850000;Ada;Tidak;Tidak;Include;Luar;1.3;85730810003
Kos Laki;Jalan Kejawan putih;Khusus Laki Laki;750000;Ada;Tidak;Ada;Include;Luar;3.5;+62 821-6530-4736
Kos muslimah Bu Yuni;Jl. Keputih Gg. IIIC No.2, Keputih, Kec. Sukolilo, Surabaya, Jawa Timur 60111;Khusus Perempuan;750000;Ada;Tidak;Ada;Include;Luar;3.3;+62 881-0225-88191
Kost Putra Bu Yeni;Jl. Kejawan Putih Tambak I No.8;Khusus Laki Laki;700000;Ada;Tidak;Tidak;Exclude;Luar;1.0;0859 3114 8799
